priority,kind,slug,title_public,slug_path,html_status,pdf_status,html_units,pdf_pages,expected_pdf_pages,image_refs,data_assets,missing_images_count,unknown_data_assets_count,notion_meta,last_modified,local_state,issues,html_url,pdf_url
P3,decks,abyss-betablocker-mi,"심근경색 후 베타차단제, 계속 vs 중단 — ABYSS 연구",decks/cardio/abyss-betablocker-mi/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/abyss-betablocker-mi/,https://gwanggyo-barun.github.io/patient-education/output/decks/abyss-betablocker-mi.pdf
P3,decks,antihypertensive-classes,항고혈압제 클래스별 효력순위,decks/cardio/antihypertensive-classes/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/antihypertensive-classes/,https://gwanggyo-barun.github.io/patient-education/output/decks/antihypertensive-classes.pdf
P3,decks,chest-pain,흉통 환자교육,decks/cardio/chest-pain/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/chest-pain/,https://gwanggyo-barun.github.io/patient-education/output/decks/chest-pain.pdf
P3,decks,eye-cardiovascular,닥터눈,decks/cardio/eye-cardiovascular/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/eye-cardiovascular/,https://gwanggyo-barun.github.io/patient-education/output/decks/eye-cardiovascular.pdf
P3,decks,htn-2025-aha-acc,2025 AHA/ACC 고혈압 가이드라인 — 목표 <130/80,decks/cardio/htn-2025-aha-acc/,200,200,12,12,12,16,0,0,0,ok,2026-06-14,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/htn-2025-aha-acc/,https://gwanggyo-barun.github.io/patient-education/output/decks/htn-2025-aha-acc.pdf
P3,decks,morning-htn,아침 고혈압 환자 교육,decks/cardio/htn/morning/,200,200,16,16,16,20,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/htn/morning/,https://gwanggyo-barun.github.io/patient-education/output/decks/morning-htn.pdf
P3,decks,oh-management-2026,기립성 저혈압 관리 — JAMA 2026 리뷰,decks/cardio/orthostatic-hypotension/management-2026/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/orthostatic-hypotension/management-2026/,https://gwanggyo-barun.github.io/patient-education/output/decks/oh-management-2026.pdf
P3,decks,vasovagal-syncope,미주신경성 실신,decks/cardio/vasovagal-syncope/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/cardio/vasovagal-syncope/,https://gwanggyo-barun.github.io/patient-education/output/decks/vasovagal-syncope.pdf
P3,decks,chronic-urticaria,만성두드러기 교육자료,decks/derm/chronic-urticaria/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/derm/chronic-urticaria/,https://gwanggyo-barun.github.io/patient-education/output/decks/chronic-urticaria.pdf
P3,decks,endoscopy-cpr-training,내시경실 심정지 응급 대응 직원 교육,decks/emergency/endoscopy/cpr-training/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/emergency/endoscopy/cpr-training/,https://gwanggyo-barun.github.io/patient-education/output/decks/endoscopy-cpr-training.pdf
P3,decks,achieve3-oral-glp1,ACHIEVE-3 — 먹는 GLP-1 직접비교 (오포글리프론 vs 세마글루타이드),decks/endocrine/achieve3-oral-glp1/,200,200,12,12,12,19,3,0,0,ok,2026-06-07,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/achieve3-oral-glp1/,https://gwanggyo-barun.github.io/patient-education/output/decks/achieve3-oral-glp1.pdf
P3,decks,advanced-lipid-biomarkers,고급 지질 바이오마커 환자교육,decks/endocrine/advanced-lipid-biomarkers/,200,200,11,11,11,14,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/advanced-lipid-biomarkers/,https://gwanggyo-barun.github.io/patient-education/output/decks/advanced-lipid-biomarkers.pdf
P3,decks,diabetes-first-visit,당뇨 첫 외래 안내,decks/endocrine/diabetes-first-visit/,200,200,12,12,12,42,26,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/diabetes-first-visit/,https://gwanggyo-barun.github.io/patient-education/output/decks/diabetes-first-visit.pdf
P3,decks,diabetes-mellitus-type2,제2형 당뇨병 환자 교육,decks/endocrine/diabetes-mellitus-type2/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/diabetes-mellitus-type2/,https://gwanggyo-barun.github.io/patient-education/output/decks/diabetes-mellitus-type2.pdf
P3,decks,dyslipidemia,진료설명 — 고지혈증,decks/endocrine/dyslipidemia/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/dyslipidemia/,https://gwanggyo-barun.github.io/patient-education/output/decks/dyslipidemia.pdf
P3,decks,glp1-week-01-start,마운자로·위고비 1회차 — 치료 시작 전 이해,decks/endocrine/glp1-weight-management/week-01-start/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-01-start/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-01-start.pdf
P3,decks,glp1-week-02-aerobic,마운자로·위고비 2회차 — 걷기와 활동량,decks/endocrine/glp1-weight-management/week-02-aerobic/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-02-aerobic/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-02-aerobic.pdf
P3,decks,glp1-week-03-strength,마운자로·위고비 3회차 — 근육 보존,decks/endocrine/glp1-weight-management/week-03-strength/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-03-strength/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-03-strength.pdf
P3,decks,glp1-week-04-nutrition,마운자로·위고비 4회차 — 식단 기본,decks/endocrine/glp1-weight-management/week-04-nutrition/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-04-nutrition/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-04-nutrition.pdf
P3,decks,glp1-week-05-gi-effects,마운자로·위고비 5회차 — 위장관 부작용 줄이기,decks/endocrine/glp1-weight-management/week-05-gi-effects/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-05-gi-effects/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-05-gi-effects.pdf
P3,decks,glp1-week-06-injection,마운자로·위고비 6회차 — 주사·보관·놓쳤을 때,decks/endocrine/glp1-weight-management/week-06-injection/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-06-injection/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-06-injection.pdf
P3,decks,glp1-week-07-safety,마운자로·위고비 7회차 — 위험 신호와 진료 연락,decks/endocrine/glp1-weight-management/week-07-safety/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-07-safety/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-07-safety.pdf
P3,decks,glp1-week-08-maintenance,마운자로·위고비 8회차 — 감량 이후 유지 전략,decks/endocrine/glp1-weight-management/week-08-maintenance/,200,200,6,6,6,10,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/glp1-weight-management/week-08-maintenance/,https://gwanggyo-barun.github.io/patient-education/output/decks/glp1-week-08-maintenance.pdf
P3,decks,gout,통풍 환자 교육,decks/endocrine/gout/,200,200,12,12,12,16,0,0,0,ok,2026-06-13,clean,,https://gwanggyo-barun.github.io/patient-education/decks/endocrine/gout/,https://gwanggyo-barun.github.io/patient-education/output/decks/gout.pdf
